toby_id|raw_relation_id|num_expert_agree
drug_disease_203|t_17547473_rel_3|2
drug_disease_200|t_17547473_rel_9|2
drug_disease_201|t_17547473_rel_5|3
drug_disease_206|t_17726209_rel_1|2
drug_disease_207|t_17726209_rel_0|2
drug_disease_204|t_17547473_rel_2|3
drug_disease_205|t_17547473_rel_4|2
drug_disease_133|t_18586644_rel_1|2
drug_disease_208|t_18975369_rel_10|2
drug_disease_209|t_18975369_rel_9|2
drug_disease_197|t_18077493_rel_0|3
drug_disease_216|t_18975369_rel_4|3
drug_disease_132|t_18586644_rel_3|2
drug_disease_218|t_18975369_rel_2|3
drug_disease_210|t_18975369_rel_0|2
drug_disease_50|t_18220495_rel_0|3
drug_disease_69|t_18452197_rel_0|2
drug_disease_68|t_18452197_rel_1|2
drug_disease_131|t_18586644_rel_2|2
drug_disease_65|t_18342498_rel_1|3
drug_disease_64|t_18342498_rel_0|3
drug_disease_67|t_18452197_rel_12|2
drug_disease_66|t_18452197_rel_13|2
drug_disease_61|t_18300089_rel_3|2
drug_disease_60|t_18300089_rel_7|2
drug_disease_63|t_18923587_rel_0|3
drug_disease_62|t_18300089_rel_6|3
drug_disease_123|t_17894421_rel_2|2
drug_disease_122|t_17894421_rel_1|2
drug_disease_121|t_17894421_rel_5|1
drug_disease_120|t_17634547_rel_3|2
drug_disease_127|t_18230056_rel_0|3
drug_disease_126|t_19117254_rel_0|3
drug_disease_125|t_17894421_rel_4|2
drug_disease_124|t_17894421_rel_6|2
drug_disease_134|t_18586644_rel_0|2
drug_disease_129|t_18208910_rel_3|2
drug_disease_128|t_18208910_rel_7|3
drug_disease_19|t_18640477_rel_9|3
drug_disease_215|t_18975369_rel_1|2
drug_disease_214|t_18975369_rel_5|3
drug_disease_217|t_18975369_rel_3|3
drug_disease_195|t_18713156_rel_5|2
drug_disease_211|t_18975369_rel_8|2
drug_disease_56|t_18300089_rel_4|3
drug_disease_198|t_18077493_rel_5|2
drug_disease_199|t_17547473_rel_0|2
drug_disease_196|t_18713156_rel_0|3
drug_disease_219|t_17688650_rel_2|2
drug_disease_194|t_18713156_rel_3|3
drug_disease_57|t_18300089_rel_2|2
drug_disease_192|t_17697016_rel_3|2
drug_disease_193|t_18713156_rel_4|3
drug_disease_190|t_17697016_rel_6|2
drug_disease_191|t_17697016_rel_5|3
drug_disease_237|t_16944312_rel_0|2
drug_disease_236|t_16944312_rel_1|3
drug_disease_16|t_18640477_rel_0|2
drug_disease_78|t_18452197_rel_9|3
drug_disease_79|t_18452197_rel_15|3
drug_disease_72|t_18452197_rel_17|3
drug_disease_73|t_18452197_rel_18|3
drug_disease_70|t_18452197_rel_6|2
drug_disease_71|t_18452197_rel_19|3
drug_disease_76|t_18452197_rel_16|2
drug_disease_77|t_18452197_rel_14|2
drug_disease_74|t_18452197_rel_3|2
drug_disease_171|t_18205897_rel_1|2
drug_disease_116|t_18395883_rel_1|2
drug_disease_117|t_17484031_rel_0|3
drug_disease_114|t_18713852_rel_13|2
drug_disease_115|t_17499360_rel_1|2
drug_disease_112|t_18713852_rel_5|3
drug_disease_172|t_18198174_rel_0|2
drug_disease_110|t_18713852_rel_0|3
drug_disease_111|t_18713852_rel_1|3
drug_disease_173|t_18389682_rel_3|2
drug_disease_118|t_17634547_rel_0|2
drug_disease_119|t_17634547_rel_2|2
drug_disease_8|t_17940253_rel_2|2
drug_disease_9|t_17274718_rel_1|2
drug_disease_6|t_17940253_rel_0|3
drug_disease_7|t_17940253_rel_1|3
drug_disease_4|t_18037672_rel_3|2
drug_disease_5|t_17237684_rel_2|3
drug_disease_2|t_18042885_rel_0|2
drug_disease_3|t_18037672_rel_2|2
drug_disease_0|t_17897305_rel_1|3
drug_disease_1|t_18042885_rel_1|2
drug_disease_181|t_18533797_rel_1|3
drug_disease_180|t_17945482_rel_4|3
drug_disease_183|t_18533797_rel_0|2
drug_disease_182|t_18533797_rel_2|2
drug_disease_185|t_18790215_rel_0|2
drug_disease_184|t_18790215_rel_2|2
drug_disease_187|t_18790215_rel_1|2
drug_disease_186|t_18790215_rel_3|2
drug_disease_189|t_17697016_rel_4|3
drug_disease_188|t_17697016_rel_2|3
drug_disease_87|t_17340045_rel_4|2
drug_disease_86|t_17340045_rel_3|2
drug_disease_85|t_17340045_rel_1|3
drug_disease_84|t_17167348_rel_3|3
drug_disease_83|t_17167348_rel_1|3
drug_disease_82|t_17167348_rel_0|2
drug_disease_81|t_18452197_rel_8|3
drug_disease_80|t_18452197_rel_7|2
drug_disease_212|t_18975369_rel_6|3
drug_disease_137|t_19135998_rel_0|2
drug_disease_89|t_17340045_rel_5|2
drug_disease_88|t_17340045_rel_0|2
drug_disease_109|t_18713852_rel_15|2
drug_disease_108|t_18713852_rel_14|2
drug_disease_101|t_18713852_rel_7|3
drug_disease_47|t_17483062_rel_3|2
drug_disease_103|t_18713852_rel_2|3
drug_disease_102|t_18713852_rel_8|3
drug_disease_105|t_18713852_rel_6|3
drug_disease_104|t_18713852_rel_3|3
drug_disease_107|t_18713852_rel_10|2
drug_disease_106|t_18713852_rel_11|3
drug_disease_135|t_19135998_rel_1|2
drug_disease_15|t_18640477_rel_11|3
drug_disease_100|t_18713852_rel_16|2
drug_disease_49|t_18220495_rel_2|2
drug_disease_94|t_18299079_rel_0|2
drug_disease_95|t_18299079_rel_3|3
drug_disease_96|t_17668247_rel_3|2
drug_disease_48|t_17483062_rel_4|2
drug_disease_90|t_18164769_rel_2|3
drug_disease_91|t_17989313_rel_3|2
drug_disease_92|t_17989313_rel_7|2
drug_disease_93|t_17989313_rel_8|3
drug_disease_98|t_18713852_rel_4|3
drug_disease_99|t_18713852_rel_17|2
drug_disease_178|t_17945482_rel_5|3
drug_disease_179|t_17945482_rel_3|3
drug_disease_14|t_17274718_rel_0|2
drug_disease_58|t_18300089_rel_1|2
drug_disease_176|t_17945482_rel_9|2
drug_disease_177|t_17945482_rel_0|3
drug_disease_10|t_17274718_rel_5|2
drug_disease_11|t_17274718_rel_3|3
drug_disease_12|t_17274718_rel_4|3
drug_disease_13|t_17274718_rel_2|2
drug_disease_17|t_18640477_rel_4|2
drug_disease_174|t_18389682_rel_0|2
drug_disease_59|t_18300089_rel_5|3
drug_disease_75|t_18452197_rel_4|2
drug_disease_213|t_18975369_rel_7|2
drug_disease_18|t_18640477_rel_8|2
drug_disease_175|t_18389682_rel_2|2
drug_disease_29|t_18434457_rel_3|2
drug_disease_28|t_18434457_rel_0|2
drug_disease_242|t_18398094_rel_0|3
drug_disease_243|t_18398094_rel_2|3
drug_disease_240|t_17244684_rel_6|2
drug_disease_241|t_17244684_rel_3|3
drug_disease_167|t_18512713_rel_4|2
drug_disease_166|t_18512713_rel_2|2
drug_disease_165|t_18512713_rel_7|3
drug_disease_164|t_18512713_rel_10|3
drug_disease_25|t_18434457_rel_5|2
drug_disease_24|t_18434457_rel_2|2
drug_disease_27|t_18434457_rel_1|2
drug_disease_26|t_18434457_rel_6|2
drug_disease_152|t_17541882_rel_1|2
drug_disease_153|t_19033289_rel_2|2
drug_disease_150|t_18303032_rel_3|2
drug_disease_151|t_17541882_rel_0|2
drug_disease_156|t_17562245_rel_4|3
drug_disease_157|t_17562245_rel_2|3
drug_disease_154|t_17562245_rel_8|3
drug_disease_155|t_17562245_rel_0|3
drug_disease_136|t_19135998_rel_2|3
drug_disease_158|t_17562245_rel_6|3
drug_disease_159|t_18512713_rel_14|3
drug_disease_161|t_18512713_rel_13|3
drug_disease_160|t_18512713_rel_12|3
drug_disease_36|t_18371953_rel_8|3
drug_disease_37|t_18371953_rel_1|2
drug_disease_34|t_18371953_rel_4|3
drug_disease_35|t_18371953_rel_5|2
drug_disease_32|t_18371953_rel_12|3
drug_disease_33|t_18371953_rel_0|2
drug_disease_30|t_18434457_rel_4|2
drug_disease_31|t_18371953_rel_3|2
drug_disease_38|t_18371953_rel_9|3
drug_disease_39|t_18371953_rel_11|3
