pub_rel_id|raw_relation_id|num_expert_agree
drug_disease_211|18975369_raw_rel_8|2
drug_disease_56|18300089_raw_rel_4|3
drug_disease_198|18077493_raw_rel_5|2
drug_disease_199|17547473_raw_rel_0|2
drug_disease_196|18713156_raw_rel_0|3
drug_disease_219|17688650_raw_rel_2|2
drug_disease_194|18713156_raw_rel_3|3
drug_disease_57|18300089_raw_rel_2|2
drug_disease_192|17697016_raw_rel_3|2
drug_disease_193|18713156_raw_rel_4|3
drug_disease_190|17697016_raw_rel_6|2
drug_disease_191|17697016_raw_rel_5|3
drug_disease_237|16944312_raw_rel_0|2
drug_disease_236|16944312_raw_rel_1|3
drug_disease_16|18640477_raw_rel_0|2
drug_disease_78|18452197_raw_rel_9|3
drug_disease_79|18452197_raw_rel_15|3
drug_disease_72|18452197_raw_rel_17|3
drug_disease_73|18452197_raw_rel_18|3
drug_disease_70|18452197_raw_rel_6|2
drug_disease_71|18452197_raw_rel_19|3
drug_disease_76|18452197_raw_rel_16|2
drug_disease_77|18452197_raw_rel_14|2
drug_disease_74|18452197_raw_rel_3|2
drug_disease_171|18205897_raw_rel_1|2
drug_disease_116|18395883_raw_rel_1|2
drug_disease_117|17484031_raw_rel_0|3
drug_disease_114|18713852_raw_rel_13|2
drug_disease_115|17499360_raw_rel_1|2
drug_disease_112|18713852_raw_rel_5|3
drug_disease_172|18198174_raw_rel_0|2
drug_disease_110|18713852_raw_rel_0|3
drug_disease_111|18713852_raw_rel_1|3
drug_disease_173|18389682_raw_rel_3|2
drug_disease_118|17634547_raw_rel_0|2
drug_disease_119|17634547_raw_rel_2|2
drug_disease_8|17940253_raw_rel_2|2
drug_disease_9|17274718_raw_rel_1|2
drug_disease_6|17940253_raw_rel_0|3
drug_disease_7|17940253_raw_rel_1|3
drug_disease_4|18037672_raw_rel_3|2
drug_disease_5|17237684_raw_rel_2|3
drug_disease_2|18042885_raw_rel_0|2
drug_disease_3|18037672_raw_rel_2|2
drug_disease_0|17897305_raw_rel_1|3
drug_disease_1|18042885_raw_rel_1|2
drug_disease_181|18533797_raw_rel_1|3
drug_disease_180|17945482_raw_rel_4|3
drug_disease_183|18533797_raw_rel_0|2
drug_disease_182|18533797_raw_rel_2|2
drug_disease_185|18790215_raw_rel_0|2
drug_disease_184|18790215_raw_rel_2|2
drug_disease_187|18790215_raw_rel_1|2
drug_disease_186|18790215_raw_rel_3|2
drug_disease_189|17697016_raw_rel_4|3
drug_disease_188|17697016_raw_rel_2|3
drug_disease_87|17340045_raw_rel_4|2
drug_disease_86|17340045_raw_rel_3|2
drug_disease_85|17340045_raw_rel_1|3
drug_disease_84|17167348_raw_rel_3|3
drug_disease_83|17167348_raw_rel_1|3
drug_disease_82|17167348_raw_rel_0|2
drug_disease_81|18452197_raw_rel_8|3
drug_disease_80|18452197_raw_rel_7|2
drug_disease_212|18975369_raw_rel_6|3
drug_disease_137|19135998_raw_rel_0|2
drug_disease_89|17340045_raw_rel_5|2
drug_disease_88|17340045_raw_rel_0|2
drug_disease_109|18713852_raw_rel_15|2
drug_disease_108|18713852_raw_rel_14|2
drug_disease_101|18713852_raw_rel_7|3
drug_disease_47|17483062_raw_rel_3|2
drug_disease_103|18713852_raw_rel_2|3
drug_disease_102|18713852_raw_rel_8|3
drug_disease_105|18713852_raw_rel_6|3
drug_disease_104|18713852_raw_rel_3|3
drug_disease_107|18713852_raw_rel_10|2
drug_disease_106|18713852_raw_rel_11|3
drug_disease_135|19135998_raw_rel_1|2
drug_disease_15|18640477_raw_rel_11|3
drug_disease_100|18713852_raw_rel_16|2
drug_disease_49|18220495_raw_rel_2|2
drug_disease_94|18299079_raw_rel_0|2
drug_disease_95|18299079_raw_rel_3|3
drug_disease_96|17668247_raw_rel_3|2
drug_disease_48|17483062_raw_rel_4|2
drug_disease_90|18164769_raw_rel_2|3
drug_disease_91|17989313_raw_rel_3|2
drug_disease_92|17989313_raw_rel_7|2
drug_disease_93|17989313_raw_rel_8|3
drug_disease_98|18713852_raw_rel_4|3
drug_disease_99|18713852_raw_rel_17|2
drug_disease_178|17945482_raw_rel_5|3
drug_disease_179|17945482_raw_rel_3|3
drug_disease_14|17274718_raw_rel_0|2
drug_disease_58|18300089_raw_rel_1|2
drug_disease_176|17945482_raw_rel_9|2
drug_disease_177|17945482_raw_rel_0|3
drug_disease_10|17274718_raw_rel_5|2
drug_disease_11|17274718_raw_rel_3|3
drug_disease_12|17274718_raw_rel_4|3
drug_disease_13|17274718_raw_rel_2|2
drug_disease_17|18640477_raw_rel_4|2
drug_disease_174|18389682_raw_rel_0|2
drug_disease_59|18300089_raw_rel_5|3
drug_disease_75|18452197_raw_rel_4|2
drug_disease_213|18975369_raw_rel_7|2
drug_disease_18|18640477_raw_rel_8|2
drug_disease_175|18389682_raw_rel_2|2
drug_disease_29|18434457_raw_rel_3|2
drug_disease_28|18434457_raw_rel_0|2
drug_disease_242|18398094_raw_rel_0|3
drug_disease_243|18398094_raw_rel_2|3
drug_disease_240|17244684_raw_rel_6|2
drug_disease_241|17244684_raw_rel_3|3
drug_disease_167|18512713_raw_rel_4|2
drug_disease_166|18512713_raw_rel_2|2
drug_disease_165|18512713_raw_rel_7|3
drug_disease_164|18512713_raw_rel_10|3
drug_disease_25|18434457_raw_rel_5|2
drug_disease_24|18434457_raw_rel_2|2
drug_disease_27|18434457_raw_rel_1|2
drug_disease_26|18434457_raw_rel_6|2
drug_disease_152|17541882_raw_rel_1|2
drug_disease_153|19033289_raw_rel_2|2
drug_disease_150|18303032_raw_rel_3|2
drug_disease_151|17541882_raw_rel_0|2
drug_disease_156|17562245_raw_rel_4|3
drug_disease_157|17562245_raw_rel_2|3
drug_disease_154|17562245_raw_rel_8|3
drug_disease_155|17562245_raw_rel_0|3
drug_disease_136|19135998_raw_rel_2|3
drug_disease_158|17562245_raw_rel_6|3
drug_disease_159|18512713_raw_rel_14|3
drug_disease_161|18512713_raw_rel_13|3
drug_disease_160|18512713_raw_rel_12|3
drug_disease_36|18371953_raw_rel_8|3
drug_disease_37|18371953_raw_rel_1|2
drug_disease_34|18371953_raw_rel_4|3
drug_disease_35|18371953_raw_rel_5|2
drug_disease_32|18371953_raw_rel_12|3
drug_disease_33|18371953_raw_rel_0|2
drug_disease_30|18434457_raw_rel_4|2
drug_disease_31|18371953_raw_rel_3|2
drug_disease_38|18371953_raw_rel_9|3
drug_disease_39|18371953_raw_rel_11|3
