"gold_std_association_type"	"pubmed_id"	"num_sentence"	"subject_text"	"subject_start"	"subject_end"	"subject_type"	"object_text"	"object_start"	"object_end"	"object_type"	"original_sentence"	"pub_rel_id"	"formatted_sentence"	"form_subject"	"form_object"
"positive"	18303032	2	"PTCL"	95	99	"disease"	"vincristine"	198	209	"drug"	"Forty-one patients [30 males and 11 females, median age 47 years] consecutively diagnosed with PTCL received three courses of high-dose cyclophosphamide 2000 mg/m(2)/day, adriamycin 90 mg/m(2)/day, vincristine and prednisone alternating with three courses of etoposide, cisplatin, cytarabine and prednisone."	"drug_disease_148"	"<div class=""formatted_sentence"">Forty-one patients [30 males and 11 females, median age 47 years] consecutively diagnosed with <span class=""subject_text"">PTCL</span> received three courses of high-dose cyclophosphamide 2000 mg/m(2)/day, adriamycin 90 mg/m(2)/day, <span class=""object_text"">vincristine</span> and prednisone alternating with three courses of etoposide, cisplatin, cytarabine and prednisone.</div>"	"&quot;<span class=""form_subject"">PTCL</span>&quot;"	"&quot;<span class=""form_object"">vincristine</span>&quot;"
"positive"	18434457	12	"anterior shoulder dislocation"	66	95	"disease"	"Intra-articular injection of lidocaine"	0	38	"drug"	"Intra-articular injection of lidocaine before closed reduction of anterior shoulder dislocation produces the same pain relief as intravenous meperidine and diazepam."	"drug_disease_24"	"<div class=""formatted_sentence""><span class=""object_text"">Intra-articular injection of lidocaine</span> before closed reduction of <span class=""subject_text"">anterior shoulder dislocation</span> produces the same pain relief as intravenous meperidine and diazepam.</div>"	"&quot;<span class=""form_subject"">anterior shoulder dislocation</span>&quot;"	"&quot;<span class=""form_object"">Intra-articular injection of lidocaine</span>&quot;"
"positive"	17562245	1	"high-grade non-Hodgkin lymphoma"	179	210	"disease"	"cyclophosphamide"	46	62	"drug"	"Administration of full-dose R-CHOP (rituximab/cyclophosphamide/doxorubicin/vincristine/prednisone) chemotherapy is important to maximize response in patients with intermediate-or high-grade non-Hodgkin lymphoma but might be difficult in older patients."	"drug_disease_157"	"<div class=""formatted_sentence"">Administration of full-dose R-CHOP (rituximab/<span class=""object_text"">cyclophosphamide</span>/doxorubicin/vincristine/prednisone) chemotherapy is important to maximize response in patients with intermediate-or <span class=""subject_text"">high-grade non-Hodgkin lymphoma</span> but might be difficult in older patients.</div>"	"&quot;<span class=""form_subject"">high-grade non-Hodgkin lymphoma</span>&quot;"	"&quot;<span class=""form_object"">cyclophosphamide</span>&quot;"
"positive"	18452197	0	"colitis-associated colorectal dysplasias"	31	71	"disease"	"5-aminosalicylic acid"	0	21	"drug"	"5-aminosalicylic acid inhibits colitis-associated colorectal dysplasias in the mouse model of azoxymethane/dextran sulfate sodium-induced colitis."	"drug_disease_69"	"<div class=""formatted_sentence""><span class=""object_text"">5-aminosalicylic acid</span> inhibits <span class=""subject_text"">colitis-associated colorectal dysplasias</span> in the mouse model of azoxymethane/dextran sulfate sodium-induced colitis.</div>"	"&quot;<span class=""form_subject"">colitis-associated colorectal dysplasias</span>&quot;"	"&quot;<span class=""form_object"">5-aminosalicylic acid</span>&quot;"
"positive"	18371953	0	"glioma"	96	102	"disease"	"indomethacin"	26	38	"drug"	"Selective cytotoxicity of indomethacin and indomethacin ethyl ester-loaded nanocapsules against glioma cell lines: an in vitro study."	"drug_disease_33"	"<div class=""formatted_sentence"">Selective cytotoxicity of <span class=""object_text"">indomethacin</span> and indomethacin ethyl ester-loaded nanocapsules against <span class=""subject_text"">glioma</span> cell lines: an in vitro study.</div>"	"&quot;<span class=""form_subject"">glioma</span>&quot;"	"&quot;<span class=""form_object"">indomethacin</span>&quot;"
"positive"	18371953	7	"glioma"	193	199	"disease"	"indomethacin-loaded nanocapsules"	46	78	"drug"	"The main finding of the present study is that indomethacin-loaded nanocapsules formulation was more potent than a solution of indomethacin in decreasing the viability and cell proliferation of glioma lines."	"drug_disease_34"	"<div class=""formatted_sentence"">The main finding of the present study is that <span class=""object_text"">indomethacin-loaded nanocapsules</span> formulation was more potent than a solution of indomethacin in decreasing the viability and cell proliferation of <span class=""subject_text"">glioma</span> lines.</div>"	"&quot;<span class=""form_subject"">glioma</span>&quot;"	"&quot;<span class=""form_object"">indomethacin-loaded nanocapsules</span>&quot;"
"positive"	18713852	8	"aspergillosis"	105	118	"disease"	"itraconazole"	183	195	"drug"	"Similarly, the same regimen of posaconazole reduced invasive fungal infections (95% CI -9.7 to -2.5) and aspergillosis (CI not reported, p < 0.001) when compared with fluconazole and itraconazole in neutropenic patients."	"drug_disease_99"	"<div class=""formatted_sentence"">Similarly, the same regimen of posaconazole reduced invasive fungal infections (95% CI -9.7 to -2.5) and <span class=""subject_text"">aspergillosis</span> (CI not reported, p < 0.001) when compared with fluconazole and <span class=""object_text"">itraconazole</span> in neutropenic patients.</div>"	"&quot;<span class=""form_subject"">aspergillosis</span>&quot;"	"&quot;<span class=""form_object"">itraconazole</span>&quot;"
"positive"	18512713	0	"rheumatoid arthritis"	51	71	"disease"	"methotrexate"	94	106	"drug"	"Incidence of melanoma and other malignancies among rheumatoid arthritis patients treated with methotrexate."	"drug_disease_166"	"<div class=""formatted_sentence"">Incidence of melanoma and other malignancies among <span class=""subject_text"">rheumatoid arthritis</span> patients treated with <span class=""object_text"">methotrexate</span>.</div>"	"&quot;<span class=""form_subject"">rheumatoid arthritis</span>&quot;"	"&quot;<span class=""form_object"">methotrexate</span>&quot;"
"positive"	18512713	1	"rheumatoid arthritis"	44	64	"disease"	"methotrexate"	92	104	"drug"	"To determine cancer risk in a cohort of 459 rheumatoid arthritis (RA) patients treated with methotrexate in community practice."	"drug_disease_167"	"<div class=""formatted_sentence"">To determine cancer risk in a cohort of 459 <span class=""subject_text"">rheumatoid arthritis</span> (RA) patients treated with <span class=""object_text"">methotrexate</span> in community practice.</div>"	"&quot;<span class=""form_subject"">rheumatoid arthritis</span>&quot;"	"&quot;<span class=""form_object"">methotrexate</span>&quot;"
"positive"	18371953	4	"glioma"	138	144	"disease"	"indomethacin ethyl ester-loaded nanocapsules"	90	134	"drug"	"The aim of this study was to evaluate the effects of indomethacin-loaded nanocapsules and indomethacin ethyl ester-loaded nanocapsules on glioma cell lines."	"drug_disease_41"	"<div class=""formatted_sentence"">The aim of this study was to evaluate the effects of indomethacin-loaded nanocapsules and <span class=""object_text"">indomethacin ethyl ester-loaded nanocapsules</span> on <span class=""subject_text"">glioma</span> cell lines.</div>"	"&quot;<span class=""form_subject"">glioma</span>&quot;"	"&quot;<span class=""form_object"">indomethacin ethyl ester-loaded nanocapsules</span>&quot;"
"positive"	18512713	9	"lung cancer"	140	151	"disease"	"methotrexate"	38	50	"drug"	"Compared with the general population, methotrexate-treated RA patients have an increased incidence of melanoma, non-Hodgkin's lymphoma, and lung cancer."	"drug_disease_159"	"<div class=""formatted_sentence"">Compared with the general population, <span class=""object_text"">methotrexate</span>-treated RA patients have an increased incidence of melanoma, non-Hodgkin's lymphoma, and <span class=""subject_text"">lung cancer</span>.</div>"	"&quot;<span class=""form_subject"">lung cancer</span>&quot;"	"&quot;<span class=""form_object"">methotrexate</span>&quot;"
"false"	18389682	2	"thromboembolism"	210	225	"disease"	"anticoagulant"	105	118	"drug"	"Dental surgery for these children has historically consisted of decreasing and/or discontinuing the oral anticoagulant and instituting heparin therapy prior to the planned dental procedure, which can result in thromboembolism and increased morbidity and mortality."	"drug_disease_173"	"<div class=""formatted_sentence"">Dental surgery for these children has historically consisted of decreasing and/or discontinuing the oral <span class=""object_text"">anticoagulant</span> and instituting heparin therapy prior to the planned dental procedure, which can result in <span class=""subject_text"">thromboembolism</span> and increased morbidity and mortality.</div>"	"&quot;<span class=""form_subject"">thromboembolism</span>&quot;"	"&quot;<span class=""form_object"">anticoagulant</span>&quot;"
"positive"	17274718	6	"gingival overgrowth"	75	94	"disease"	"CsA"	63	66	"drug"	"ET-1 mRNA expression was significantly higher in patients with CsA-induced gingival overgrowth (P <0.001) than in patients with periodontitis and the controls."	"drug_disease_11"	"<div class=""formatted_sentence"">ET-1 mRNA expression was significantly higher in patients with <span class=""object_text"">CsA</span>-induced <span class=""subject_text"">gingival overgrowth</span> (P <0.001) than in patients with periodontitis and the controls.</div>"	"&quot;<span class=""form_subject"">gingival overgrowth</span>&quot;"	"&quot;<span class=""form_object"">CsA</span>&quot;"
"positive"	17945482	8	"lung cancer"	213	224	"disease"	"sutent"	88	94	"drug"	"Finally, in non-small cell lung cancer (NSCLC) in patients' progressing on chemotherapy sutent was able to achieve a 10% response rate, a level of activity similar to those documented by other agents approved for lung cancer."	"drug_disease_176"	"<div class=""formatted_sentence"">Finally, in non-small cell lung cancer (NSCLC) in patients' progressing on chemotherapy <span class=""object_text"">sutent</span> was able to achieve a 10% response rate, a level of activity similar to those documented by other agents approved for <span class=""subject_text"">lung cancer</span>.</div>"	"&quot;<span class=""form_subject"">lung cancer</span>&quot;"	"&quot;<span class=""form_object"">sutent</span>&quot;"
"positive"	17945482	8	"NSCLC"	40	45	"disease"	"sutent"	88	94	"drug"	"Finally, in non-small cell lung cancer (NSCLC) in patients' progressing on chemotherapy sutent was able to achieve a 10% response rate, a level of activity similar to those documented by other agents approved for lung cancer."	"drug_disease_178"	"<div class=""formatted_sentence"">Finally, in non-small cell lung cancer (<span class=""subject_text"">NSCLC</span>) in patients' progressing on chemotherapy <span class=""object_text"">sutent</span> was able to achieve a 10% response rate, a level of activity similar to those documented by other agents approved for lung cancer.</div>"	"&quot;<span class=""form_subject"">NSCLC</span>&quot;"	"&quot;<span class=""form_object"">sutent</span>&quot;"
"speculative"	18300089	11	"fatal cancer"	159	171	"disease"	"immunosuppressive drugs"	75	98	"drug"	"Information from the SITE Cohort Study should clarify whether use of these immunosuppressive drugs for ocular inflammation increases the risk of mortality and fatal cancer."	"drug_disease_55"	"<div class=""formatted_sentence"">Information from the SITE Cohort Study should clarify whether use of these <span class=""object_text"">immunosuppressive drugs</span> for ocular inflammation increases the risk of mortality and <span class=""subject_text"">fatal cancer</span>.</div>"	"&quot;<span class=""form_subject"">fatal cancer</span>&quot;"	"&quot;<span class=""form_object"">immunosuppressive drugs</span>&quot;"
"positive"	18790215	5	"immunosuppression"	116	133	"disease"	"mycophenolate mofetil"	56	77	"drug"	"During the induction phase, tacrolimus or cyclosporine, mycophenolate mofetil, and methylprednisolone were used for immunosuppression."	"drug_disease_184"	"<div class=""formatted_sentence"">During the induction phase, tacrolimus or cyclosporine, <span class=""object_text"">mycophenolate mofetil</span>, and methylprednisolone were used for <span class=""subject_text"">immunosuppression</span>.</div>"	"&quot;<span class=""form_subject"">immunosuppression</span>&quot;"	"&quot;<span class=""form_object"">mycophenolate mofetil</span>&quot;"
"positive"	18790215	5	"immunosuppression"	116	133	"disease"	"tacrolimus"	28	38	"drug"	"During the induction phase, tacrolimus or cyclosporine, mycophenolate mofetil, and methylprednisolone were used for immunosuppression."	"drug_disease_185"	"<div class=""formatted_sentence"">During the induction phase, <span class=""object_text"">tacrolimus</span> or cyclosporine, mycophenolate mofetil, and methylprednisolone were used for <span class=""subject_text"">immunosuppression</span>.</div>"	"&quot;<span class=""form_subject"">immunosuppression</span>&quot;"	"&quot;<span class=""form_object"">tacrolimus</span>&quot;"
"positive"	18790215	5	"immunosuppression"	116	133	"disease"	"cyclosporine"	42	54	"drug"	"During the induction phase, tacrolimus or cyclosporine, mycophenolate mofetil, and methylprednisolone were used for immunosuppression."	"drug_disease_187"	"<div class=""formatted_sentence"">During the induction phase, tacrolimus or <span class=""object_text"">cyclosporine</span>, mycophenolate mofetil, and methylprednisolone were used for <span class=""subject_text"">immunosuppression</span>.</div>"	"&quot;<span class=""form_subject"">immunosuppression</span>&quot;"	"&quot;<span class=""form_object"">cyclosporine</span>&quot;"
"positive"	17697016	8	"anaemia"	47	54	"disease"	"Zidovudine"	0	10	"drug"	"Zidovudine discontinuation could help to avoid anaemia associated with anti-HCV therapy."	"drug_disease_190"	"<div class=""formatted_sentence""><span class=""object_text"">Zidovudine</span> discontinuation could help to avoid <span class=""subject_text"">anaemia</span> associated with anti-HCV therapy.</div>"	"&quot;<span class=""form_subject"">anaemia</span>&quot;"	"&quot;<span class=""form_object"">Zidovudine</span>&quot;"
"positive"	18342498	1	"asthma"	105	111	"disease"	"ICSs"	66	70	"drug"	"There is evidence in the literature that inhaled corticosteroids (ICSs) are safe for pregnant women with asthma and their infants."	"drug_disease_64"	"<div class=""formatted_sentence"">There is evidence in the literature that inhaled corticosteroids (<span class=""object_text"">ICSs</span>) are safe for pregnant women with <span class=""subject_text"">asthma</span> and their infants.</div>"	"&quot;<span class=""form_subject"">asthma</span>&quot;"	"&quot;<span class=""form_object"">ICSs</span>&quot;"
"positive"	18713156	7	"migraine headache"	97	114	"disease"	"topiramate"	43	53	"drug"	"This study demonstrated that both low-dose topiramate and propranolol could significantly reduce migraine headache frequency, intensity, and duration."	"drug_disease_194"	"<div class=""formatted_sentence"">This study demonstrated that both low-dose <span class=""object_text"">topiramate</span> and propranolol could significantly reduce <span class=""subject_text"">migraine headache</span> frequency, intensity, and duration.</div>"	"&quot;<span class=""form_subject"">migraine headache</span>&quot;"	"&quot;<span class=""form_object"">topiramate</span>&quot;"
"positive"	18713156	5	"headache"	158	166	"disease"	"topiramate"	14	24	"drug"	"Results - The topiramate group showed a reduction in the mean (+/-SD) of monthly migraine frequency from 6.07 (+/-1.89) to 1.83 (+/-1.39) episodes per month, headache intensity from 7.1 (+/-1.45) to 3.67 (+/-2.1) based on the Visual Analog Scale, and headache duration from 16.37 (+/-7.26) to 6.23 (+/-5.22) hours (P < 0.001)."	"drug_disease_195"	"<div class=""formatted_sentence"">Results - The <span class=""object_text"">topiramate</span> group showed a reduction in the mean (+/-SD) of monthly migraine frequency from 6.07 (+/-1.89) to 1.83 (+/-1.39) episodes per month, <span class=""subject_text"">headache</span> intensity from 7.1 (+/-1.45) to 3.67 (+/-2.1) based on the Visual Analog Scale, and headache duration from 16.37 (+/-7.26) to 6.23 (+/-5.22) hours (P < 0.001).</div>"	"&quot;<span class=""form_subject"">headache</span>&quot;"	"&quot;<span class=""form_object"">topiramate</span>&quot;"
"positive"	18713156	5	"migraine"	81	89	"disease"	"topiramate"	14	24	"drug"	"Results - The topiramate group showed a reduction in the mean (+/-SD) of monthly migraine frequency from 6.07 (+/-1.89) to 1.83 (+/-1.39) episodes per month, headache intensity from 7.1 (+/-1.45) to 3.67 (+/-2.1) based on the Visual Analog Scale, and headache duration from 16.37 (+/-7.26) to 6.23 (+/-5.22) hours (P < 0.001)."	"drug_disease_196"	"<div class=""formatted_sentence"">Results - The <span class=""object_text"">topiramate</span> group showed a reduction in the mean (+/-SD) of monthly <span class=""subject_text"">migraine</span> frequency from 6.07 (+/-1.89) to 1.83 (+/-1.39) episodes per month, headache intensity from 7.1 (+/-1.45) to 3.67 (+/-2.1) based on the Visual Analog Scale, and headache duration from 16.37 (+/-7.26) to 6.23 (+/-5.22) hours (P < 0.001).</div>"	"&quot;<span class=""form_subject"">migraine</span>&quot;"	"&quot;<span class=""form_object"">topiramate</span>&quot;"
"positive"	18077493	0	"hypertension"	73	85	"disease"	"medium-dose glucocorticoid"	22	48	"drug"	"Long-term exposure to medium-dose glucocorticoid therapy associates with hypertension in patients with rheumatoid arthritis."	"drug_disease_197"	"<div class=""formatted_sentence"">Long-term exposure to <span class=""object_text"">medium-dose glucocorticoid</span> therapy associates with <span class=""subject_text"">hypertension</span> in patients with rheumatoid arthritis.</div>"	"&quot;<span class=""form_subject"">hypertension</span>&quot;"	"&quot;<span class=""form_object"">medium-dose glucocorticoid</span>&quot;"
"positive"	17291222	0	"Pulmonary alveolar proteinosis"	0	30	"disease"	"sirolimus"	61	70	"drug"	"Pulmonary alveolar proteinosis: a rare pulmonary toxicity of sirolimus."	"drug_disease_225"	"<div class=""formatted_sentence""><span class=""subject_text"">Pulmonary alveolar proteinosis</span>: a rare pulmonary toxicity of <span class=""object_text"">sirolimus</span>.</div>"	"&quot;<span class=""form_subject"">Pulmonary alveolar proteinosis</span>&quot;"	"&quot;<span class=""form_object"">sirolimus</span>&quot;"
"false"	17547473	7	"coronary heart disease"	159	181	"disease"	"amlodipine"	54	64	"drug"	"Compared with both diuretics and contemporary agents, amlodipine decreases cardiovascular events to a similar or greater extent without evidence for increased coronary heart disease, gastrointestinal bleeding or cancer."	"drug_disease_202"	"<div class=""formatted_sentence"">Compared with both diuretics and contemporary agents, <span class=""object_text"">amlodipine</span> decreases cardiovascular events to a similar or greater extent without evidence for increased <span class=""subject_text"">coronary heart disease</span>, gastrointestinal bleeding or cancer.</div>"	"&quot;<span class=""form_subject"">coronary heart disease</span>&quot;"	"&quot;<span class=""form_object"">amlodipine</span>&quot;"
"positive"	17726209	5	"stomal varices secondary to portal hypertension"	68	115	"disease"	"silver nitrate"	174	188	"drug"	"All three patients had recurrent admissions for stomal bleeding and stomal varices secondary to portal hypertension and were initially treated with local measures (pressure, silver nitrate, and suture ligation)."	"drug_disease_206"	"<div class=""formatted_sentence"">All three patients had recurrent admissions for stomal bleeding and <span class=""subject_text"">stomal varices secondary to portal hypertension</span> and were initially treated with local measures (pressure, <span class=""object_text"">silver nitrate</span>, and suture ligation).</div>"	"&quot;<span class=""form_subject"">stomal varices secondary to portal hypertension</span>&quot;"	"&quot;<span class=""form_object"">silver nitrate</span>&quot;"
"false"	18452197	2	"colitis-associated neoplasia"	138	166	"disease"	"DSS"	125	128	"drug"	"The chemopreventive activity of 5-ASA was evaluated in the Swiss Webster model of azoxymethane (AOM)/dextran sulfate sodium (DSS)-induced colitis-associated neoplasia."	"drug_disease_80"	"<div class=""formatted_sentence"">The chemopreventive activity of 5-ASA was evaluated in the Swiss Webster model of azoxymethane (AOM)/dextran sulfate sodium (<span class=""object_text"">DSS</span>)-induced <span class=""subject_text"">colitis-associated neoplasia</span>.</div>"	"&quot;<span class=""form_subject"">colitis-associated neoplasia</span>&quot;"	"&quot;<span class=""form_object"">DSS</span>&quot;"
"positive"	17167348	8	"cerebrovascular events"	33	55	"disease"	"Cocaine"	0	7	"drug"	"Cocaine abuse is associated with cerebrovascular events; spinal cord effects are rarely reported."	"drug_disease_83"	"<div class=""formatted_sentence""><span class=""object_text"">Cocaine</span> abuse is associated with <span class=""subject_text"">cerebrovascular events</span>; spinal cord effects are rarely reported.</div>"	"&quot;<span class=""form_subject"">cerebrovascular events</span>&quot;"	"&quot;<span class=""form_object"">Cocaine</span>&quot;"
"false"	17340045	9	"noninfectious granulomatous syndromes"	37	74	"disease"	"etanercept"	97	107	"drug"	"Recently, there have been reports of noninfectious granulomatous syndromes in patients receiving etanercept for a variety of diseases."	"drug_disease_86"	"<div class=""formatted_sentence"">Recently, there have been reports of <span class=""subject_text"">noninfectious granulomatous syndromes</span> in patients receiving <span class=""object_text"">etanercept</span> for a variety of diseases.</div>"	"&quot;<span class=""form_subject"">noninfectious granulomatous syndromes</span>&quot;"	"&quot;<span class=""form_object"">etanercept</span>&quot;"
"false"	18300089	7	"ocular inflammation"	155	174	"disease"	"alkylating agents"	48	65	"drug"	"Past use of antimetabolites, T-cell inhibitors, alkylating agents, and other immunosuppressives is ascertained from medical records of approximately 9,250 ocular inflammation patients at five tertiary centers over up to 30 years."	"drug_disease_57"	"<div class=""formatted_sentence"">Past use of antimetabolites, T-cell inhibitors, <span class=""object_text"">alkylating agents</span>, and other immunosuppressives is ascertained from medical records of approximately 9,250 <span class=""subject_text"">ocular inflammation</span> patients at five tertiary centers over up to 30 years.</div>"	"&quot;<span class=""form_subject"">ocular inflammation</span>&quot;"	"&quot;<span class=""form_object"">alkylating agents</span>&quot;"
"positive"	18975369	6	"gout flares"	73	84	"disease"	"febuxostat"	116	126	"drug"	"The primary reasons for withdrawal were similar across groups except for gout flares, which were more frequent with febuxostat than with allopurinol."	"drug_disease_216"	"<div class=""formatted_sentence"">The primary reasons for withdrawal were similar across groups except for <span class=""subject_text"">gout flares</span>, which were more frequent with <span class=""object_text"">febuxostat</span> than with allopurinol.</div>"	"&quot;<span class=""form_subject"">gout flares</span>&quot;"	"&quot;<span class=""form_object"">febuxostat</span>&quot;"
"positive"	17989313	10	"multiple myeloma"	107	123	"disease"	"BiRD"	0	4	"drug"	"BiRD is an effective regimen with manageable side effects in the treatment of symptomatic, newly diagnosed multiple myeloma."	"drug_disease_93"	"<div class=""formatted_sentence""><span class=""object_text"">BiRD</span> is an effective regimen with manageable side effects in the treatment of symptomatic, newly diagnosed <span class=""subject_text"">multiple myeloma</span>.</div>"	"&quot;<span class=""form_subject"">multiple myeloma</span>&quot;"	"&quot;<span class=""form_object"">BiRD</span>&quot;"
"positive"	18609261	11	"vasculitis"	154	164	"disease"	"cyclophosphamide"	83	99	"drug"	"Data of our study revealed an unexpected high rate of hypogonadism irrespective of cyclophosphamide use, and subclinical involvement of the testes by the vasculitis itself might be an alternative explanation."	"drug_disease_223"	"<div class=""formatted_sentence"">Data of our study revealed an unexpected high rate of hypogonadism irrespective of <span class=""object_text"">cyclophosphamide</span> use, and subclinical involvement of the testes by the <span class=""subject_text"">vasculitis</span> itself might be an alternative explanation.</div>"	"&quot;<span class=""form_subject"">vasculitis</span>&quot;"	"&quot;<span class=""form_object"">cyclophosphamide</span>&quot;"
